layer,sharpe,cagr,max_dd,final_$
L0: walk-forward as computed (5 bps base),1.0262750762648973,0.2505157274416574,-0.3897947230012624,14546491.275646197
L1: + permanent impact (10 bps base),1.0095614623924984,0.24541302582309732,-0.3903966130385812,13851330.050300976
L2: + 35% short-term tax drag,1.0095614623924984,0.15233468982406095,-0.27051332801536054,5482058.084246544
