config_id,side,lookback_col,top_pct,rebalance_days,sharpe,sortino,max_dd,calmar,cagr,turnover,error
lo_000,long_short,mom_63d,0.05,5,-0.16091637710761622,-0.15009566622090384,-0.8504767489430605,-0.08999208706986075,-0.076536177641776,0.22814730345834022,
lo_001,long_short,mom_63d,0.05,10,-0.06311749219134166,-0.05925233534309154,-0.7690654189573483,-0.06583626794355121,-0.05063239698859545,0.15939678802555057,
lo_002,long_short,mom_63d,0.05,21,0.030439519339852623,0.028416195885122775,-0.7531797369809591,-0.03509185699679897,-0.026430475623022476,0.10624370872531406,
lo_003,long_short,mom_63d,0.05,42,-0.010595308738188496,-0.009852046089128636,-0.8192584809187933,-0.04576037003791232,-0.03748957124354191,0.07116735339477816,
lo_004,long_short,mom_63d,0.05,63,0.19592831244939832,0.18704502816152443,-0.5927434375028666,0.030858331777069817,0.018291073653144307,0.05517904045663243,
lo_005,long_short,mom_63d,0.05,126,0.2945113854620467,0.28377611566990074,-0.5735308510908136,0.07115358974002021,0.04080877888176038,0.027250260206781948,
lo_006,long_short,mom_63d,0.1,5,-0.22712573945074918,-0.208813195285233,-0.8005846945712156,-0.08580576880764518,-0.06869478521331696,0.20487489790750696,
lo_007,long_short,mom_63d,0.1,10,-0.15513494008438702,-0.1428034804109537,-0.7432536843948926,-0.07125470342059777,-0.05296032084782465,0.1445489351632862,
lo_008,long_short,mom_63d,0.1,21,-0.028434280697386773,-0.026066970621539513,-0.6941055391531015,-0.038447001274301326,-0.0266862765483189,0.0986524735935986,
lo_009,long_short,mom_63d,0.1,42,-0.16391774786952645,-0.14890333050290772,-0.7923138660353283,-0.068951116582908,-0.054630925747256476,0.06786497201086406,
lo_010,long_short,mom_63d,0.1,63,0.13619210359854073,0.12755897134738703,-0.5304639585171788,0.014876636270886668,0.007891519365674782,0.05324611063743803,
lo_011,long_short,mom_63d,0.1,126,0.30630377893022603,0.29290529277095584,-0.43114672420620703,0.08780251684017147,0.037855767512700256,0.02622468370784323,
lo_012,long_short,mom_63d,0.15,5,-0.2890363610241752,-0.2647248982720669,-0.7966391218046146,-0.08646563334229637,-0.06888190621208679,0.18760135880001672,
lo_013,long_short,mom_63d,0.15,10,-0.22198046878241381,-0.2038181313285126,-0.752850962803669,-0.07417314123223638,-0.05584132079086168,0.1329528847366347,
